state,plate_title,plate_img,source_img,source
CA,Dismantlers - Sun,DismSun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DismSun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,New Vehicle Distributor - Block,DistBlock.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DistBlock.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,New Vehicle Distributor - Blue + Gold,distrblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/distrblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,"New Vehicle Distributor - Motorcycle, Blue + Gold",distrmcblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/distrmcblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,New Vehicle Distributor - Script,DistScript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DistScript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,New Vehicle Distributor - Sun,DistSun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DistSun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Dealers - Block,DlrBlock.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DlrBlock.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Dealers - Blue + Gold,dlrblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/dlrblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Dealers - Motorcycle,dlrmc.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/dlrmc.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Dealers - Motorcycle Blue + Gold,dlrblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/dlrblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Dealers - Script,dlrscript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/dlrscript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Dealers - Sun,DlrSun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DlrSun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Disabled Person License Plates,DPautocoml.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DPautocoml.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Disabled Veteran License Plates,DVautocoml.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DVautocoml.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Environmental,elp_150.jpg,https://www.dmv.ca.gov/portal/wp-content/uploads/2020/02/elp_150.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Environmental - Motorcycle,elp_mc113.jpg,https://www.dmv.ca.gov/portal/uploads/2020/02/elp_mc113.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Exempt - New ,exemptnew.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/exemptnew.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Exempt  - Script with octagon,exemptoctagonscript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/exemptoctagonscript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Exempt - Script,exemptscript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/exemptscript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,FIREFIGHTERS - Motorcycle,firefighter_mc.gif,https://www.dmv.ca.gov/portal/wp-content/uploads/2020/02/firefighter_mc.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,FIREFIGHTERS,fireT_150.jpg,https://www.dmv.ca.gov/portal/uploads/2020/05/fireT_150.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
